"'"
"Newfoundland and Labrador"
"Distribution of polling divisions by federal electoral district (FED), from the 2003 to the 2013 Representation Order"

"Old FED - 2003","New FED - 2013","Polling divisions taken from old FED - Type","Polling divisions taken from old FED - From no.","Polling divisions taken from FED - To no.","Polling divisions transferred - Total polls","Polling divisions taken from FED - %","Population taken from old FED"
"Avalon","Avalon","A.P.",602.0,617.0,2,9.1,59548
"Avalon","Avalon","A.P.",609.0,609.0,1,37.6,59548
"Avalon","Avalon","A.P.",619.0,619.0,1,66.7,59548
"Avalon","Avalon","A.P.",603.0,621.0,15,100,59548
"Avalon","Avalon","M.P.",508.0,508.0,1,33.3,59548
"Avalon","Avalon","M.P.",507.0,507.0,1,66.7,59548
"Avalon","Avalon","M.P.",501.0,509.0,6,100,59548
"Avalon","Avalon","O.P.",159.0,159.0,1,0.4,59548
"Avalon","Avalon","O.P.",40.0,210.0,154,100,59548
"Avalon","Avalon","SVR1",.,.,.,74.8,59548
"Avalon","Avalon","SVR2",.,.,.,74.8,59548
"Avalon","Bonavista--Burin--Trinity","A.P.",619.0,619.0,1,33.3,16898
"Avalon","Bonavista--Burin--Trinity","A.P.",602.0,617.0,2,90.9,16898
"Avalon","Bonavista--Burin--Trinity","A.P.",600.0,618.0,3,100,16898
"Avalon","Bonavista--Burin--Trinity","M.P.",507.0,507.0,1,33.3,16898
"Avalon","Bonavista--Burin--Trinity","M.P.",500.0,500.0,1,100,16898
"Avalon","Bonavista--Burin--Trinity","O.P.",1.0,61.0,56,100,16898
"Avalon","Bonavista--Burin--Trinity","SVR1",.,.,.,22.0,16898
"Avalon","Bonavista--Burin--Trinity","SVR2",.,.,.,22.0,16898
"Avalon","St. John's South--Mount Pearl","A.P.",609.0,609.0,1,62.4,2462
"Avalon","St. John's South--Mount Pearl","M.P.",508.0,508.0,1,66.7,2462
"Avalon","St. John's South--Mount Pearl","O.P.",159.0,159.0,1,99.6,2462
"Avalon","St. John's South--Mount Pearl","O.P.",160.0,163.0,4,100,2462
"Avalon","St. John's South--Mount Pearl","SVR1",.,.,.,3.2,2462
"Avalon","St. John's South--Mount Pearl","SVR2",.,.,.,3.2,2462
"Bonavista - Gander - Grand Falls - Windsor","Bonavista--Burin--Trinity","A.P.",609.0,609.0,1,0.1,27780
"Bonavista - Gander - Grand Falls - Windsor","Bonavista--Burin--Trinity","A.P.",604.0,604.0,1,64.3,27780
"Bonavista - Gander - Grand Falls - Windsor","Bonavista--Burin--Trinity","A.P.",605.0,615.0,6,100,27780
"Bonavista - Gander - Grand Falls - Windsor","Bonavista--Burin--Trinity","M.P.",500.0,500.0,1,33.3,27780
"Bonavista - Gander - Grand Falls - Windsor","Bonavista--Burin--Trinity","M.P.",502.0,506.0,3,100,27780
"Bonavista - Gander - Grand Falls - Windsor","Bonavista--Burin--Trinity","O.P.",130.0,130.0,1,1.0,27780
"Bonavista - Gander - Grand Falls - Windsor","Bonavista--Burin--Trinity","O.P.",66.0,229.1,84,100,27780
